,Unnamed: 0,id,title,views,publishdate,category,channel_name,subscriber,keywords,short_or_video,thumbnail_colors,duration
0,0,_AMnMpBOcyY,【花隈千冬】CeVIO AIトークボイス サンプル音声（開発中音源）,22145,2022-06-19,Entertainment,TOKYO6 ENTERTAINMENT,4180.0,"花隈千冬, CeVIO_AI, 奥野香耶",video,"['beige', 'black', 'dimgray', 'dimgray', 'gray']",225
1,1,8rVh4rQg-JI,【古川本舗】あいにいく【花隈千冬 公式デモソング】,35722,2022-10-19,Entertainment,TOKYO6 ENTERTAINMENT,4180.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'lightgray', 'goldenrod', 'slategray', 'dimgray']",234
2,2,EtEqGWNJ6zM,"小さな恋 (sung by Chifuyu Hanakuma, 花隈千冬)",162,2022-10-19,Music,Rioリョウ,53.0,"花隈千冬, Tokyo6, SynthesizerV, Hanakuma, Chifuyu, Vocaloid, 小さな恋",video,"['gray', 'silver', 'black', 'silver', 'darkgray']",196
3,3,FzgQyJ_Fe0g,翠色のヒストリア feat. 花隈千冬,1093,2022-10-19,Music,Yori / Sodalite Lab.,449.0,"花隈千冬, 小春六花, 夏色花梨, TOKYO6, 花隈千冬オリジナル曲, Yori, Sodalite Lab., Hanakuma, Chihuyu, Vocaloid",video,"['seagreen', 'black', 'silver', 'mediumaquamarine', 'mediumaquamarine']",224
4,4,GegE-pknwyM,【花隈千冬】代赭色の曇り空から【オリジナル曲】,719,2022-10-19,Music,野良犬P  NorainuP,710.0,"Synthesizer V, SynthV, VOCALOID, 花隈千冬, Hanakuma Chifuyu, VocalSynth, Vocal Synth, 小樽コラボ",video,"['rosybrown', 'black', 'lightseagreen', 'dimgray', 'gray']",315
5,5,S06Z2KQsuZU,ツギハギビート / 風原 feat. 花隈千冬,13393,2022-10-19,Entertainment,風原の音置き場,2000.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'gainsboro', 'dimgray', 'peru', 'gray']",217
6,6,ImhtYxQaQX8,【花隈千冬】さよならの足音【オリジナル曲】,13361,2022-10-19,Music,野良犬P  NorainuP,710.0,"VOCALOID, SynthV, SynthesizerV, Synthesizer V, 花隈千冬, Hanakuma Chifuyu, オリジナル曲, Original Song, 野良犬P",video,"['lightgray', 'black', 'slategray', 'dimgray', 'dimgray']",289
7,7,pRh0AZ4Z-bM,『ヒメタルネ』 feat.花隈千冬【Synthesizer V AI】by 湊いつき,21229,2022-10-19,Music,湊いつき,2160.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'thistle', 'dimgray', 'darkslategray', 'slategray']",244
8,8,UWlg632RaRs,ひらりしあわせ / きっくす feat.花隈千冬【SynthesizerV】,2333,2022-10-19,Music,きっくす(studio biotope),629.0,"y.szk, kikkusu",video,"['darkslategray', 'darksalmon', 'gray', 'darkgray', 'darkgray']",228
9,9,gdP7UMc3LFs,Step by Jump / 序論 feat. 花隈千冬,251,2022-10-19,Music,序論,50.0,"花隈千冬, 花隈千冬オリジナル曲, SynthesizerV, VOCALOID",video,"['khaki', 'black', 'oldlace', 'dimgray', 'darkolivegreen']",233
10,10,tp3GdJclaew,アップビートに気付いて / 花隈千冬,1112,2022-10-19,People \u0026 Blogs,じゅんぴょん / Otonari Studio,480.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'lavender', 'dimgray', 'lightslategray', 'dimgray']",143
11,11,wqhkR__DPu8,あの日の憧れ、消えない想い/花隈千冬,172,2022-10-19,People \u0026 Blogs,ジムノ,109.0,花隈千冬,video,"['darkslategray', 'beige', 'slategray', 'lightslategray', 'lightslategray']",212
12,12,uPNTekKrgcA,【オリジナル】スターダスト / feat.花隈千冬,640,2022-10-19,People \u0026 Blogs,ざるぼうる / ZalBowl,322.0,"video, sharing, camera phone, video phone, free, upload",video,"['antiquewhite', 'black', 'gray', 'gray', 'dimgray']",215
13,13,qkkYahzsDrE,【花隈千冬】この手をさしのべて【ピアノバラード】,145,2022-10-20,Music,OIE,67.0,"video, sharing, camera phone, video phone, free, upload",video,"['darkslategray', 'tan', 'lightslategray', 'gray', 'darkgray']",164
14,14,S14Yuxow-iA,【花隈千冬】文庫回遊【SynthVオリジナル曲】,209,2022-10-22,Music,ノーコア | nocore,424.0,"オリジナル曲, synthv, synthesizerv, dtm",video,"['black', 'sienna', 'antiquewhite', 'rosybrown', 'rosybrown']",149
15,15,5_yNBNMghRg,:√透明な記憶を / Watashi feat.花隈千冬\u0026夏色花梨,1990,2022-10-28,Music,Wa tashi,391.0,"SynthV, SyntesizerV, 夏色花梨, 花隈千冬, NatsukiKarin, HanakumaChifuyu, EDM, Chill",video,"['gainsboro', 'black', 'dimgray', 'gray', 'dimgray']",245
16,16,v2ypwizroFc,[オリジナル曲(PV) ]WARM HEAVY RAIN[花隈千冬],131,2022-10-29,Music,Kuramoto Satoshi,86.0,"#VOCALOID, #花隈千冬, #Synthesizer V, #エレクトロ",short,"['black', 'wheat', 'sandybrown', 'goldenrod', 'gray']",337
17,17,kEIeB4Cf8pc,こるちかむ / あいぶるーむ  feat.花隈千冬,858,2022-10-31,Music,あいぶるーむ,111.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'beige', 'gray', 'dimgray', 'gray']",226
18,18,cwdMYGLEoyM,くものいと / 花隈千冬,341,2022-11-04,Music,浅倉森 / mori,1780.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'skyblue', 'lightcyan', 'dimgray', 'cadetblue']",213
19,19,Nxqxc9J_0zM,アンデットハート/ Lio feat.花隈千冬,425,2022-11-06,Music,Lio,588.0,"ボカロ, VOCALOID, オリジナル曲, 花隈千冬, 花隈千冬オリジナル曲, synthesizerv",video,"['black', 'silver', 'darkslategray', 'cadetblue', 'slategray']",179
20,20,AmaTs-g1umc,WARNING feat.花隈千冬 【Synthesizer V AI】（オリジナル曲）,230,2022-11-07,Music,月紫 Tsukushi Ch.,24.0,"video, sharing, camera phone, video phone, free, upload",video,"['black', 'darkslategray', 'gray', 'dimgray', 'dimgray']",240
