,id,title,thumbnails,views,likes,dislikes,publishdate,category,channel_name,subscriber,keywords
0,_AMnMpBOcyY,【花隈千冬】CeVIO AIトークボイス サンプル音声（開発中音源）,https://i.ytimg.com/vi/_AMnMpBOcyY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAaATt7PV11vx81p8JHZeMJPFvkLA,22145,,,2022-06-19,Entertainment,TOKYO6 ENTERTAINMENT,4.18K,"花隈千冬, CeVIO_AI, 奥野香耶"
1,8rVh4rQg-JI,【古川本舗】あいにいく【花隈千冬 公式デモソング】,https://i.ytimg.com/vi/8rVh4rQg-JI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAWdlLxA56cHfYzbMs6Y5eoYkKzEg,35722,,,2022-10-19,Entertainment,TOKYO6 ENTERTAINMENT,4.18K,"video, sharing, camera phone, video phone, free, upload"
2,EtEqGWNJ6zM,"小さな恋 (sung by Chifuyu Hanakuma, 花隈千冬)",https://i.ytimg.com/vi/EtEqGWNJ6zM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDzHycdhpwJtx5wmmsqzyLFAZ_NTA,162,,,2022-10-19,Music,Rioリョウ,53,"花隈千冬, Tokyo6, SynthesizerV, Hanakuma, Chifuyu, Vocaloid, 小さな恋"
3,FzgQyJ_Fe0g,翠色のヒストリア feat. 花隈千冬,https://i.ytimg.com/vi/FzgQyJ_Fe0g/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA5sF6YNVZkpW9LA7OvYf9zErbMAA,1093,,,2022-10-19,Music,Yori / Sodalite Lab.,449,"花隈千冬, 小春六花, 夏色花梨, TOKYO6, 花隈千冬オリジナル曲, Yori, Sodalite Lab., Hanakuma, Chihuyu, Vocaloid"
4,GegE-pknwyM,【花隈千冬】代赭色の曇り空から【オリジナル曲】,https://i.ytimg.com/vi/GegE-pknwyM/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgOChYMA8=\u0026rs=AOn4CLBSMPdUmHxIwvR4JCHDOoemF9WwFg,719,,,2022-10-19,Music,野良犬P  NorainuP,710,"Synthesizer V, SynthV, VOCALOID, 花隈千冬, Hanakuma Chifuyu, VocalSynth, Vocal Synth, 小樽コラボ"
5,S06Z2KQsuZU,ツギハギビート / 風原 feat. 花隈千冬,https://i.ytimg.com/vi/S06Z2KQsuZU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDkrVhmgRjcJ9eUt8RF42CTmnasZg,13393,,,2022-10-19,Entertainment,風原の音置き場,2K,"video, sharing, camera phone, video phone, free, upload"
6,ImhtYxQaQX8,【花隈千冬】さよならの足音【オリジナル曲】,https://i.ytimg.com/vi/ImhtYxQaQX8/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGFggXShlMA8=\u0026rs=AOn4CLBIb61oWBfSqQP6uRUNS4pKIx5_zA,13361,,,2022-10-19,Music,野良犬P  NorainuP,710,"VOCALOID, SynthV, SynthesizerV, Synthesizer V, 花隈千冬, Hanakuma Chifuyu, オリジナル曲, Original Song, 野良犬P"
7,pRh0AZ4Z-bM,『ヒメタルネ』 feat.花隈千冬【Synthesizer V AI】by 湊いつき,https://i.ytimg.com/vi/pRh0AZ4Z-bM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCaKX2C6vnjisHnburaBsO38NOhNA,21229,,,2022-10-19,Music,湊いつき,2.16K,"video, sharing, camera phone, video phone, free, upload"
8,UWlg632RaRs,ひらりしあわせ / きっくす feat.花隈千冬【SynthesizerV】,https://i.ytimg.com/vi/UWlg632RaRs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCL2phvonFA3PTk4OXku9hqUZKQuA,2333,,,2022-10-19,Music,きっくす(studio biotope),629,"y.szk, kikkusu"
9,gdP7UMc3LFs,Step by Jump / 序論 feat. 花隈千冬,https://i.ytimg.com/vi/gdP7UMc3LFs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA1c-WtwJJZsK-YAI3xNarIut7ejg,251,,,2022-10-19,Music,序論,50,"花隈千冬, 花隈千冬オリジナル曲, SynthesizerV, VOCALOID"
